Model,Region,Price_USD,Sales_Volume
5 Series,Asia,98740,8300
i8,North America,79219,3428
5 Series,North America,113265,6994
X3,Middle East,60971,4047
7 Series,South America,49898,3080
5 Series,Middle East,42926,1232
i8,Europe,55064,7949
M5,Asia,102778,632
X3,South America,116482,8944
i8,Europe,96257,4411
3 Series,Middle East,117995,500
i8,North America,74539,8252
7 Series,North America,100015,8111
5 Series,Africa,119486,4668
X1,Asia,34078,7291
M3,North America,94997,7765
X5,Asia,114844,5561
M5,North America,81934,9755
5 Series,North America,111326,4880
X5,Africa,82677,7104
X3,North America,88091,8635
X1,Africa,62941,1113
M5,Europe,49507,9383
7 Series,North America,101791,7521
X5,South America,47527,6273
X3,Middle East,85370,4645
M3,Asia,116902,8897
X1,North America,107465,6481
M5,Asia,32076,9469
M3,Asia,64049,1440
i8,South America,102215,5006
i8,South America,64577,448
M5,Asia,53277,4091
i8,Asia,118788,3384
X1,Middle East,116432,4926
M5,South America,108240,4561
X3,Middle East,52717,8046
i8,Middle East,37949,2278
M3,Africa,86748,3929
X5,Middle East,35401,7110
i3,Middle East,69578,173
M5,South America,37177,5946
X5,Africa,60278,2913
X5,Middle East,96256,7627
X5,South America,82675,2155
i8,Europe,118317,7168
i3,North America,79039,8283
5 Series,Asia,86855,648
X6,Africa,112542,7933
i3,Asia,93508,8438
X3,Asia,119692,6782
M3,Africa,49278,3153
i8,Middle East,44269,5887
i3,South America,46127,608
i8,Middle East,100747,3291
M5,South America,96739,3754
X5,Middle East,57537,4125
X6,South America,46263,9762
M3,Europe,65464,9390
3 Series,Africa,54762,3293
M3,South America,93915,9470
X6,Middle East,117237,5425
i8,South America,34193,425
X6,Asia,89970,4935
3 Series,North America,65089,660
3 Series,Europe,86402,4266
M3,Asia,44322,2191
X3,Asia,111352,1932
7 Series,Middle East,50620,6962
3 Series,South America,44950,1703
X6,Europe,101523,8589
5 Series,Middle East,31815,2011
7 Series,Asia,118363,1564
i3,South America,43355,945
X1,Europe,84346,4289
i3,North America,66155,3748
X1,Europe,101753,3476
X3,North America,68274,5759
X3,Middle East,78144,9420
M3,North America,87604,9797
M5,North America,90388,7944
7 Series,South America,102551,6709
7 Series,North America,117121,4823
X6,Europe,68106,1048
i8,Middle East,78729,9545
M5,North America,71912,2167
M5,South America,94286,3140
X6,South America,50923,7821
i8,Middle East,37887,2085
X3,Europe,101473,8030
i8,Middle East,96965,5409
X5,Middle East,76799,4367
X3,North America,119927,1472
i3,Africa,72385,455
i3,Asia,63696,7218
X6,Asia,35951,3389
X5,Asia,95900,8581
i8,Europe,44846,1431
X5,Africa,95908,2775
X1,Asia,119897,4601
3 Series,Middle East,55612,6698
M5,Europe,72188,6056
i3,Africa,89587,6301
M5,Asia,46231,8734
X1,Middle East,85801,8644
7 Series,North America,92213,5456
7 Series,Africa,42013,8472
i8,Asia,50942,5940
7 Series,Europe,83812,2241
7 Series,Africa,93993,8663
X3,Africa,30158,8293
i8,Europe,102279,8445
i3,North America,36081,190
7 Series,Middle East,93431,7462
M3,Middle East,40950,8339
i8,South America,66212,4055
5 Series,Europe,90224,3683
3 Series,South America,49557,1180
X6,Europe,100663,9100
X5,South America,83059,6844
M5,Asia,45389,8882
X6,North America,36520,2914
3 Series,Africa,40194,4548
5 Series,Asia,82668,271
X3,Middle East,107348,2451
7 Series,North America,52099,4212
X5,Middle East,117084,3275
M3,Asia,38811,7337
X6,North America,109733,8345
X3,Asia,53997,2162
i8,North America,101282,8396
5 Series,Middle East,87345,1299
X5,Europe,64095,3880
X6,Europe,117764,5637
X5,South America,40275,8394
X6,Africa,33796,5935
7 Series,South America,111071,5908
X6,South America,39627,3147
M5,Asia,103316,1732
i3,South America,106619,719
i3,South America,36666,1460
M5,Europe,56202,3235
M5,South America,108152,7139
i3,North America,102447,2694
X5,North America,85983,3403
i3,Africa,99958,8216
3 Series,Asia,86660,8650
3 Series,North America,78509,8070
X6,Middle East,84798,169
5 Series,South America,88464,6353
i3,North America,33185,8634
M5,Europe,66606,1684
7 Series,Middle East,85604,5312
M3,North America,116198,7059
X1,Africa,119996,9620
3 Series,Asia,50651,8157
7 Series,Europe,106473,8666
X1,Africa,41920,2600
5 Series,Europe,103384,9334
5 Series,Europe,34120,1344
5 Series,Europe,119412,8291
X3,South America,34749,7553
M5,Asia,94884,9645
3 Series,Europe,86684,9474
X3,Middle East,60899,8000
5 Series,Asia,39501,6584
7 Series,Europe,60731,6249
i8,Middle East,71690,1697
i3,Middle East,58894,6072
3 Series,South America,79774,1142
7 Series,North America,42764,9856
i3,Africa,45834,7607
X3,North America,116468,8333
M5,Africa,59448,3877
3 Series,Africa,113482,4956
X5,South America,86846,5598
X1,Europe,74494,6791
i3,Africa,101137,968
X1,South America,109617,8217
3 Series,Africa,108637,5548
M5,Asia,88181,148
3 Series,South America,79650,6447
X3,South America,51627,6673
X5,North America,99967,8127
X6,Europe,32120,9970
i3,Asia,91547,9832
X1,Asia,102818,3880
5 Series,Middle East,49279,9951
5 Series,Middle East,36571,7403
i8,Middle East,96066,8537
X3,Europe,32119,4249
7 Series,Middle East,57691,271
3 Series,South America,96429,6974
X1,Middle East,112644,2922
X1,Africa,49010,3433
X5,Asia,39793,6620
3 Series,South America,101189,1476
3 Series,South America,107968,4129
i3,Asia,51327,9128
3 Series,Asia,84635,3507
X1,Europe,77484,9106
3 Series,Europe,71328,3222
X5,Africa,72024,9331
X5,Africa,72436,5761
i3,Middle East,93997,6920
5 Series,South America,53862,6897
X3,Africa,105924,5139
M5,North America,62719,1396
X3,Europe,49919,491
3 Series,Africa,71591,6640
X5,Europe,86328,8960
X1,Middle East,42552,5542
3 Series,Europe,89156,7342
X1,South America,79927,1057
M3,South America,39495,7431
M5,Europe,38271,6150
X3,North America,74435,9536
X3,Asia,103988,5141
M3,Asia,73953,1659
X3,South America,106673,4699
M3,Africa,42738,6588
X3,Asia,53097,1474
X6,South America,60936,2428
3 Series,Asia,87186,5065
5 Series,Asia,38861,9087
3 Series,Asia,33086,5817
X1,Asia,89868,3445
X5,Asia,87087,3372
i8,North America,70057,7327
X3,Middle East,111173,808
X1,Middle East,56309,3076
X1,North America,76909,6636
7 Series,Asia,58752,3606
i8,North America,82447,1206
X1,Asia,80705,7058
i8,South America,92666,9368
7 Series,Asia,65268,2069
i8,Asia,116846,6121
X6,South America,114860,9792
X5,North America,43850,9612
7 Series,Africa,96859,8022
X6,Asia,107293,3205
M5,North America,58700,249
X3,Africa,62253,7350
X1,North America,100980,3581
M5,North America,78120,381
M5,North America,94839,3880
3 Series,North America,100678,2815
5 Series,Europe,38170,9239
X1,Africa,79035,1036
3 Series,South America,56836,5315
M3,Africa,33093,2976
X3,North America,50319,1311
X1,Africa,108905,5952
i8,Africa,31212,3778
3 Series,South America,72641,4298
5 Series,Europe,82957,8127
M3,Africa,91248,8772
X3,Asia,113110,3430
i3,Asia,34249,8483
7 Series,North America,77120,6825
X1,Asia,79969,9134
X1,South America,101839,125
X5,Africa,105887,5236
X5,South America,31112,2466
7 Series,South America,51743,4350
X1,Europe,102607,7920
i8,Europe,113159,113
M3,Asia,34852,2275
7 Series,Asia,96938,1714
X5,North America,103663,9847
3 Series,Asia,74108,4182
M5,Asia,48461,3244
X3,Middle East,113525,6461
M3,Europe,111245,9520
X3,South America,61329,4579
X5,Africa,68638,7530
X5,North America,116928,9850
M3,South America,100103,9122
7 Series,South America,35576,1916
X1,South America,52709,3813
i3,North America,73410,6205
M5,South America,40782,6688
i3,Europe,79002,1402
5 Series,Middle East,38344,8273
M3,Europe,103056,7577
M3,Europe,60458,9098
M5,Europe,32486,4427
X5,North America,65633,9311
3 Series,Africa,101460,3182
i3,Africa,115240,5797
X3,Africa,114845,577
i3,Europe,105938,3288
X3,South America,42383,7041
i8,Africa,43439,5284
i8,Europe,59627,9454
5 Series,Asia,74501,6935
M3,Middle East,81786,5058
3 Series,South America,64007,7793
M3,North America,36497,2353
X6,Asia,90061,4643
X1,Africa,49598,1252
i3,South America,47994,1675
M5,Asia,52950,6177
M5,Middle East,96914,4669
i3,South America,98122,5178
M5,Asia,70907,8254
M3,South America,96941,6712
i8,Asia,30074,2845
M3,North America,88780,4997
3 Series,Middle East,73453,7286
i3,South America,107658,9124
X6,Europe,61914,5045
X6,South America,116735,4709
i3,Europe,111742,1482
M5,Africa,64700,3134
X3,Middle East,70672,6856
3 Series,Middle East,47284,3730
M3,Europe,93837,8190
7 Series,Africa,74401,9067
3 Series,South America,112265,5726
7 Series,Asia,71570,3284
i8,Europe,70118,7254
i3,Middle East,80919,2377
M5,Asia,49840,1883
3 Series,South America,99478,520
X1,Europe,71666,8913
i3,Africa,99512,2353
X3,South America,55881,6169
M5,Africa,109963,113
X5,Europe,79299,2353
i3,Africa,46141,8132
X1,Europe,101553,1718
3 Series,Africa,115369,5481
X6,Europe,89763,7436
X5,Europe,117994,6327
i3,Asia,99138,5415
X5,North America,107741,2737
X1,Europe,39207,4488
5 Series,North America,52030,1849
X5,Asia,72271,6300
X1,Europe,42749,3108
M3,Africa,80312,2792
i3,Middle East,89891,3901
i3,Asia,62609,897
i3,Europe,54036,3108
X6,Africa,116494,9003
3 Series,Africa,116827,9454
X6,Africa,115705,7064
5 Series,North America,51552,4585
7 Series,North America,32230,4515
i8,Asia,92606,9586
i8,Middle East,97301,9597
i8,Africa,102381,9156
5 Series,South America,39129,8440
3 Series,North America,105042,2463
i8,South America,48463,3398
X6,South America,94959,8066
X5,Asia,106595,5829
X3,Middle East,83106,6254
7 Series,North America,116107,7608
X3,South America,114790,2156
i8,South America,42409,5098
X1,Asia,112394,5095
7 Series,North America,40062,305
i8,Europe,68714,5960
3 Series,Europe,78565,3990
5 Series,Middle East,76420,6844
M3,Middle East,67269,2781
X5,Africa,110049,1386
3 Series,North America,71905,7571
i3,South America,31948,5863
X6,North America,66518,7163
3 Series,South America,102814,5037
5 Series,Middle East,69488,8943
i8,Asia,34401,288
X1,North America,35905,5184
X3,Europe,70778,8167
X6,South America,60324,2195
X1,Middle East,58708,3657
M5,South America,91637,9121
i8,Africa,116643,4751
X1,Europe,53115,874
3 Series,North America,82258,9890
7 Series,South America,47128,7301
X5,Europe,37111,4242
M5,Europe,119792,3324
X5,Africa,67794,9284
i3,North America,115537,5387
X6,Africa,81625,3309
7 Series,Europe,30463,7111
M3,Middle East,101785,1625
M5,Africa,93495,489
i3,Asia,91829,7118
M5,Middle East,114903,8924
X1,South America,117363,642
i3,Africa,95982,4366
M5,Asia,81725,1404
X5,Africa,62344,8358
3 Series,South America,35561,3816
X1,North America,59157,9680
M3,South America,55419,7109
X3,South America,84387,6211
X6,South America,36457,1866
X5,Europe,32190,143
X5,South America,85852,5802
X3,Asia,93537,5924
X6,South America,56075,9184
i3,Asia,33486,4936
5 Series,Africa,74267,2849
5 Series,Asia,112462,5903
i8,South America,62084,4541
i3,Europe,119952,9131
7 Series,Europe,33593,3220
7 Series,Africa,85617,1909
X3,Asia,45543,6657
X6,Europe,100512,9966
X5,South America,94088,2930
i8,Middle East,39377,9525
X1,Africa,41990,8543
i8,Africa,41946,2452
X3,Middle East,40370,6148
3 Series,Africa,58429,8981
X3,North America,30284,241
3 Series,Middle East,76201,5760
M3,North America,59712,6726
X6,North America,85468,8241
i8,Middle East,82911,4321
X6,Asia,54649,6736
5 Series,Africa,35915,9841
M3,Middle East,54134,904
M5,Middle East,84569,4431
7 Series,Africa,92721,7521
5 Series,South America,87621,4611
5 Series,North America,76581,6866
3 Series,Middle East,63248,8095
i3,Middle East,118934,1818
i3,North America,104651,1054
3 Series,South America,93319,3307
M3,Middle East,30946,6000
X5,Africa,45093,7103
M5,North America,66769,1942
5 Series,Europe,84946,2018
5 Series,South America,46751,5122
X1,Africa,41380,2118
M3,North America,35130,9240
i3,South America,74147,8800
i8,Europe,71187,3942
M3,Europe,36190,6344
M3,South America,31385,634
5 Series,South America,48896,398
X6,Asia,111758,7978
X3,Europe,112367,6565
X3,South America,42468,9374
i8,North America,94124,2613
7 Series,South America,102861,5453
3 Series,Middle East,76421,867
i8,Africa,97980,6665
X6,Africa,53320,101
i8,South America,31016,4938
X1,Africa,32634,5754
5 Series,Africa,82139,1560
M5,South America,35232,4545
i8,Middle East,117586,5532
M5,Africa,90079,6074
3 Series,Africa,55483,9417
7 Series,South America,110072,3588
X3,South America,46723,1251
X1,Asia,98433,9105
X5,Africa,52655,7876
X1,Asia,58531,7317
X6,Middle East,113647,1983
M5,Middle East,112693,5817
5 Series,Middle East,100148,7231
M5,Asia,82901,222
i3,Europe,67998,7313
i3,Middle East,41659,1786
7 Series,North America,43238,8514
X6,South America,86385,9968
X5,Europe,113709,8047
i8,South America,80754,5839
X3,South America,60361,1339
X3,Middle East,46517,9462
X3,Europe,119117,7270
i8,North America,108815,2879
3 Series,South America,102968,2165
X6,Africa,102034,4455
X5,Europe,84856,2035
i3,Europe,46702,7510
3 Series,North America,49819,9025
X1,Africa,33141,5113
X5,Europe,62226,7616
3 Series,South America,117171,6688
3 Series,North America,54989,9390
5 Series,North America,54748,3539
7 Series,Asia,51785,7315
X3,Africa,70265,9879
X6,Europe,63605,8533
M3,Africa,58185,335
i8,Middle East,108406,993
i8,North America,38071,8143
7 Series,Europe,75628,8340
M3,Africa,100693,6324
7 Series,North America,89453,7795
7 Series,Africa,82064,9362
i8,North America,96319,9080
7 Series,Middle East,78386,1274
7 Series,Africa,77426,2167
X3,Africa,119954,6751
7 Series,North America,64742,7762
M5,Africa,93884,6440
7 Series,North America,99698,992
X6,Africa,82740,1329
i8,Africa,52193,6006
X5,North America,36116,3195
3 Series,South America,51226,2119
i3,Asia,114851,1342
X3,South America,105711,1100
X6,Europe,36319,6496
X6,Africa,32423,844
M3,North America,56835,6900
X6,North America,104447,6145
X5,Africa,105070,4284
X5,Middle East,75419,5961
X1,Asia,84022,1194
i3,Asia,87697,4050
X5,Middle East,75390,8038
X5,Middle East,93236,2693
X5,Africa,72936,2487
M5,South America,34553,6549
3 Series,Asia,90267,6372
i8,Middle East,80247,9537
i3,Middle East,107396,9192
X5,Asia,76124,4646
3 Series,North America,119970,5377
X3,North America,62008,7502
M5,Africa,36902,7598
5 Series,Africa,42650,1268
X1,North America,103531,4441
5 Series,Europe,46019,8074
3 Series,Europe,83776,3673
i8,Europe,94038,5816
X6,Asia,36462,7133
X3,Europe,64069,4747
X5,North America,60636,2341
X6,North America,74150,4425
5 Series,Africa,110517,3292
X6,Asia,45607,556
M5,North America,52081,3272
X3,Europe,116500,348
X5,Middle East,30135,9888
i3,Europe,116918,2095
X1,Africa,49663,7193
M3,Africa,59889,8335
3 Series,Africa,101189,8196
i8,Middle East,92250,6734
M5,Europe,99296,5943
X5,Europe,66166,5997
3 Series,South America,92873,5227
M3,South America,86673,9443
X3,Asia,53093,6010
7 Series,Middle East,109866,9809
7 Series,Africa,37051,8999
X1,South America,42968,8538
7 Series,Europe,113426,2659
3 Series,South America,103473,5921
7 Series,Africa,60516,4821
X3,Middle East,58086,1733
X6,Middle East,68930,7739
i8,North America,41756,563
i3,North America,42697,8838
5 Series,Africa,35004,2434
X6,Europe,85638,3739
X6,Middle East,94664,1678
i3,North America,108265,9521
X6,South America,73514,2768
X1,Middle East,64990,2399
5 Series,Middle East,108742,9219
i3,South America,114354,7868
M5,South America,73954,5084
i8,Middle East,105341,3727
3 Series,Africa,119038,7491
X3,South America,91730,9606
M3,Africa,109949,6188
3 Series,Africa,60352,3348
5 Series,Africa,96809,184
X3,Asia,36661,9954
X5,North America,88937,3605
X3,Middle East,115843,5457
X3,Europe,93151,4711
i3,Middle East,61625,3251
7 Series,North America,97853,4886
7 Series,Africa,42186,1241
X3,Africa,88307,4847
3 Series,Europe,79362,9762
X1,North America,55139,2255
X3,Africa,41969,1244
X1,Europe,59752,8657
M5,Middle East,81354,784
M3,North America,119134,6570
7 Series,Asia,113671,5644
7 Series,South America,75481,4908
i8,Middle East,103534,2717
i3,South America,35945,4643
M5,North America,45297,2447
X3,Middle East,83549,2331
X6,Africa,51230,9313
i8,Europe,107973,8455
5 Series,Europe,106372,3803
i3,Asia,100453,3316
M5,South America,92285,6560
3 Series,Africa,95875,6984
X3,Europe,72593,4877
3 Series,Asia,101930,4570
M5,Asia,70403,7365
X5,Europe,41296,7699
X1,South America,76189,1131
i8,Europe,114137,923
X1,Africa,94933,4533
M3,Africa,45975,2999
X3,North America,89574,7612
X1,Middle East,101679,3344
5 Series,North America,32116,1782
M3,Africa,56208,8578
i3,South America,110953,6928
5 Series,Africa,30432,2607
X5,Asia,47201,8051
X6,Middle East,74845,8291
i8,Asia,60810,2862
M3,South America,54325,9996
M5,Middle East,90483,8800
X5,Africa,63767,1602
M3,Asia,88568,7632
X6,South America,63342,3124
X1,Africa,67337,6335
3 Series,Middle East,54124,7781
i3,South America,54215,393
M3,Middle East,106337,5749
i8,Asia,113894,3656
M3,Africa,95058,1840
i3,Asia,95155,7603
5 Series,Europe,62997,2680
X1,Africa,99809,4751
5 Series,Asia,113545,2723
M5,North America,35561,3859
M5,Europe,67632,7227
M3,Africa,45507,1697
X3,North America,98338,2964
X5,North America,65146,7877
i3,Africa,39371,8106
X5,South America,95650,3481
7 Series,North America,95673,9015
X6,Middle East,36529,4747
M3,South America,37291,2791
i3,Europe,96374,8225
X5,South America,65453,7674
X6,Middle East,40976,9924
X1,Middle East,96502,423
X1,North America,77086,9589
i8,Europe,114472,2087
i8,Asia,93444,6870
i3,Middle East,47777,2316
5 Series,Middle East,97853,1474
3 Series,Africa,105114,8248
i8,Asia,59940,9535
7 Series,Africa,95164,9770
X6,Europe,67268,1689
i8,Africa,107597,7217
M5,Europe,44431,7143
3 Series,South America,33634,1187
X5,Middle East,88294,9092
X6,South America,43547,6936
X5,Asia,61697,9927
i3,Asia,83062,4684
X3,Europe,32033,7801
